;;PROVENTOS;;
ELEM.DESPESAS;CLASS.ORC;CLASS.PASS;PROVENTOS;DESCONTOS;SALDO
VENCIMENTO BÁSICO;31.90.11.01;211110101;2723733,33;-295281,82;2428451,51
       dif. vencimento;31.90.11.01;;3064,17
       parc.indiv.fixa-l.3172/03;31.90.11.01;;6944,92
       vencimento efetivo;31.90.11.01;;2713724,24
       abate teto art. 37 cf c/ previd;31.90.11.01;;;-47420,26
       abate teto art. 37 cf s/ previd;31.90.11.01;;;-180094,95
       dev. adiant. ferias 40% liquido;31.90.11.01;;;-37426,38
       dif. abate teto art. 37 cf s/ previd;31.90.11.01;;;-28144,05
       ressarcimento ao erario s/inc.-ativo;31.90.11.01;;;-2196,18
EMPREGO EM COMISSÃO/FUNÇÃO GRATIFICADA;31.90.11.02;211110101;226312,91;-866,46;225446,45
       dif. opcao 55% s/venc s/p;31.90.11.02;;491,02
       funcao de confiança;31.90.11.02;;203640,36
       opcao 55% s/venc s/p;31.90.11.02;;22181,53
       dev. funcao de confiança;31.90.11.02;;;-866,46
ADICIONAL POR TEMPO DE SERVIÇO (ANUÊNIO);31.90.11.04;211110101;154799,68;;154799,68
       adicional tempo de servico;31.90.11.04;;154203,69
       dif. adicional tempo de servico;31.90.11.04;;595,99
ADIC. DE INSALUBRIDADE;31.90.11.07;211110101;5125,64;;5125,64
       dif. adicional de insalubridade s/p;31.90.11.07;;5125,64
DÉCIMO TERCEIRO SALARIO - PESSSOAL CIVIL;31.90.11.21;;138370,11;-64,85;138305,26
       13º salário;31.90.11.21;;128391,11
       13º salario - cc/fc;31.90.11.21;;9459,64
       dif. 13º salário;31.90.11.21;;519,36
       abate teto 13º salário s/ previd;31.90.11.21;;;-64,85
GRATIFICAÇÃO POR TITULAÇÃO - GTIT;31.90.11.23;;351298,55;;351298,55
       adicional de qualificação;31.90.11.23;;346754,40
       dif. adicional de qualificação;31.90.11.23;;4544,15
LICENCA PREMIO ASSIDUIDADE - ATIVOS;31.90.11.25;211110104;116953,86;;116953,86
       lic.- premio pecúnia - art. 6º lc 952/19;31.90.11.25;;116953,86
FÉRIAS 1/3 CONTITUCIONAL ;31.90.11.32;211110103;38101,55;;38101,55
       adicional de ferias s/p;31.90.11.32;;38101,55
GRATIFICAÇÃO DE REPRESENTAÇÃO;31.90.11.56;211110101;126199,22;;126199,22
       dif. representação s/p;31.90.11.56;;2737,82
       representação s/p;31.90.11.56;;123461,40
GRATIFICAÇÃO DE ATIVIDADE DE CONTROLE EXTERNO;31.90.11.57;211110101;81503,28;;81503,28
       dif. gace 3% s/venc;31.90.11.57;;91,98
       gace 3% s/venc;31.90.11.57;;81411,30
SUBSTITUIÇOES;31.90.16.02;;37046,42;;37046,42
       substituicao art 58 res 10/86 s/p;31.90.16.02;;37046,42
INDENIZACAO DE FERIAS;31.90.94.01;;24651,27;;24651,27
       abono pecuniario;31.90.94.01;;24651,27
AUXILIO ASSISTÊNCIA MÉDICA;33.90.08.11;;176940,71;;176940,71
       dif. reembolso pró-saúde;33.90.08.11;;2535,11
       reembolso pró-saúde;33.90.08.11;;174405,60
AUXILIO-CRECHE;33.90.08.55;;60087,57;;60087,57
       aux.pre-escolar res.250/2013;33.90.08.55;;59470,12
       dif. aux. pre-escolar res.250/2013;33.90.08.55;;617,45
SERVIÇOS DE SELEÇÃO E APERFEIÇOAMENTO;33.90.36.10;;5564,07;;5564,07
       grat.encargo curso/concurso;33.90.36.10;;5564,07
AUXÍLIO ALIMENTAÇÃO  -  CIVIL;33.90.46.02;;185431,80;;185431,80
       auxilio alimentacao;33.90.46.02;;185431,80
RESTITUIÇÕES DE CURSOS;33.90.93.15;;8362,97;;8362,97
       bolsa integral de estudo/curso;33.90.93.15;;7110,26
       bolsa parcial estudo-ate 50%;33.90.93.15;;1252,71
RESTITUIÇÕES DE SERVICOS DIVERSOS;33.90.93.17;;555,43;;555,43
       indenização telef/dados;33.90.93.17;;555,43
PROVENTOS;DESCONTOS;SALDO
4461038,37;296213,13;4164825,24
;;DESCONTOS;;
ELEM.DESPESAS;CLASS.ORC;CLASS.CONT;PROVENTOS;DESCONTOS;SALDO
INSS DE SERVIDORES ESTATUTÁRIOS;2.11.11.01.00;421110201;272303,95;;272303,95
       df-previcom - contrib. facultativa;2.11.11.01.00;218810111;;-625,81
